Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Group Code,Sex,Sex Code,Race,Race Code,Deaths
Leukemias,35011-35043,2007,35-39 years,35-39,Male,M,White,2106-3,109.0
Leukemias,35011-35043,2008,20-24 years,20-24,Female,F,White,2106-3,43.0
Leukemias,35011-35043,2008,20-24 years,20-24,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2008,20-24 years,20-24,Male,M,White,2106-3,128.0
Leukemias,35011-35043,2008,25-29 years,25-29,Female,F,White,2106-3,73.0
Leukemias,35011-35043,2008,25-29 years,25-29,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2008,25-29 years,25-29,Male,M,White,2106-3,123.0
Leukemias,35011-35043,2008,30-34 years,30-34,Female,F,White,2106-3,67.0
Leukemias,35011-35043,2008,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2008,30-34 years,30-34,Male,M,White,2106-3,119.0
Leukemias,35011-35043,2008,35-39 years,35-39,Female,F,White,2106-3,101.0
Leukemias,35011-35043,2008,35-39 years,35-39,Male,M,Black or African American,2054-5,26.0
Leukemias,35011-35043,2008,35-39 years,35-39,Male,M,White,2106-3,121.0
Leukemias,35011-35043,2009,20-24 years,20-24,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2009,20-24 years,20-24,Female,F,White,2106-3,49.0
Leukemias,35011-35043,2009,20-24 years,20-24,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2009,20-24 years,20-24,Male,M,White,2106-3,122.0
Leukemias,35011-35043,2009,25-29 years,25-29,Female,F,White,2106-3,71.0
Leukemias,35011-35043,2009,25-29 years,25-29,Male,M,Black or African American,2054-5,24.0
Leukemias,35011-35043,2009,25-29 years,25-29,Male,M,White,2106-3,104.0
Leukemias,35011-35043,2009,30-34 years,30-34,Female,F,White,2106-3,82.0
Leukemias,35011-35043,2009,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2009,30-34 years,30-34,Male,M,White,2106-3,116.0
Leukemias,35011-35043,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2009,35-39 years,35-39,Female,F,White,2106-3,107.0
Leukemias,35011-35043,2009,35-39 years,35-39,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2009,35-39 years,35-39,Male,M,White,2106-3,131.0
Leukemias,35011-35043,2010,20-24 years,20-24,Female,F,White,2106-3,72.0
Leukemias,35011-35043,2010,20-24 years,20-24,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2010,20-24 years,20-24,Male,M,White,2106-3,102.0
Leukemias,35011-35043,2010,25-29 years,25-29,Female,F,White,2106-3,72.0
Leukemias,35011-35043,2010,25-29 years,25-29,Male,M,White,2106-3,106.0
Leukemias,35011-35043,2010,30-34 years,30-34,Female,F,White,2106-3,76.0
Leukemias,35011-35043,2010,30-34 years,30-34,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2010,30-34 years,30-34,Male,M,White,2106-3,98.0
Leukemias,35011-35043,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Leukemias,35011-35043,2010,35-39 years,35-39,Female,F,White,2106-3,93.0
Leukemias,35011-35043,2010,35-39 years,35-39,Male,M,Black or African American,2054-5,26.0
Leukemias,35011-35043,2010,35-39 years,35-39,Male,M,White,2106-3,124.0
Leukemias,35011-35043,2011,20-24 years,20-24,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2011,20-24 years,20-24,Female,F,White,2106-3,71.0
Leukemias,35011-35043,2011,20-24 years,20-24,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2011,20-24 years,20-24,Male,M,White,2106-3,95.0
Leukemias,35011-35043,2011,25-29 years,25-29,Female,F,White,2106-3,64.0
Leukemias,35011-35043,2011,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2011,25-29 years,25-29,Male,M,White,2106-3,97.0
Leukemias,35011-35043,2011,30-34 years,30-34,Female,F,White,2106-3,61.0
Leukemias,35011-35043,2011,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2011,30-34 years,30-34,Male,M,White,2106-3,110.0
Leukemias,35011-35043,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,21.0
Leukemias,35011-35043,2011,35-39 years,35-39,Female,F,White,2106-3,78.0
Leukemias,35011-35043,2011,35-39 years,35-39,Male,M,Black or African American,2054-5,31.0
Leukemias,35011-35043,2011,35-39 years,35-39,Male,M,White,2106-3,105.0
Leukemias,35011-35043,2012,20-24 years,20-24,Female,F,White,2106-3,71.0
Leukemias,35011-35043,2012,20-24 years,20-24,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2012,20-24 years,20-24,Male,M,White,2106-3,84.0
Leukemias,35011-35043,2012,25-29 years,25-29,Female,F,White,2106-3,70.0
Leukemias,35011-35043,2012,25-29 years,25-29,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2012,25-29 years,25-29,Male,M,White,2106-3,85.0
Leukemias,35011-35043,2012,30-34 years,30-34,Female,F,White,2106-3,72.0
Leukemias,35011-35043,2012,30-34 years,30-34,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2012,30-34 years,30-34,Male,M,White,2106-3,97.0
Leukemias,35011-35043,2012,35-39 years,35-39,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2012,35-39 years,35-39,Female,F,White,2106-3,62.0
Leukemias,35011-35043,2012,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Leukemias,35011-35043,2012,35-39 years,35-39,Male,M,White,2106-3,125.0
Leukemias,35011-35043,2013,20-24 years,20-24,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2013,20-24 years,20-24,Male,M,White,2106-3,87.0
Leukemias,35011-35043,2013,25-29 years,25-29,Female,F,White,2106-3,57.0
Leukemias,35011-35043,2013,25-29 years,25-29,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2013,25-29 years,25-29,Male,M,White,2106-3,85.0
Leukemias,35011-35043,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2013,30-34 years,30-34,Female,F,White,2106-3,61.0
Leukemias,35011-35043,2013,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Leukemias,35011-35043,2013,30-34 years,30-34,Male,M,White,2106-3,107.0
Leukemias,35011-35043,2013,35-39 years,35-39,Female,F,White,2106-3,85.0
Leukemias,35011-35043,2013,35-39 years,35-39,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2013,35-39 years,35-39,Male,M,White,2106-3,110.0
Leukemias,35011-35043,2014,20-24 years,20-24,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2014,20-24 years,20-24,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2014,20-24 years,20-24,Male,M,White,2106-3,104.0
Leukemias,35011-35043,2014,25-29 years,25-29,Female,F,White,2106-3,68.0
Leukemias,35011-35043,2014,25-29 years,25-29,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2014,25-29 years,25-29,Male,M,White,2106-3,87.0
Leukemias,35011-35043,2014,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2014,30-34 years,30-34,Female,F,White,2106-3,66.0
Leukemias,35011-35043,2014,30-34 years,30-34,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2014,30-34 years,30-34,Male,M,White,2106-3,106.0
Leukemias,35011-35043,2014,35-39 years,35-39,Female,F,Black or African American,2054-5,18.0
Leukemias,35011-35043,2014,35-39 years,35-39,Female,F,White,2106-3,86.0
Leukemias,35011-35043,2014,35-39 years,35-39,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2014,35-39 years,35-39,Male,M,White,2106-3,103.0
Leukemias,35011-35043,2015,20-24 years,20-24,Female,F,White,2106-3,45.0
Leukemias,35011-35043,2015,20-24 years,20-24,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2015,20-24 years,20-24,Male,M,White,2106-3,100.0
Leukemias,35011-35043,2015,25-29 years,25-29,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2015,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2015,25-29 years,25-29,Male,M,White,2106-3,100.0
Leukemias,35011-35043,2015,30-34 years,30-34,Female,F,Black or African American,2054-5,20.0
Leukemias,35011-35043,2015,30-34 years,30-34,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2015,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2015,30-34 years,30-34,Male,M,White,2106-3,97.0
Leukemias,35011-35043,2015,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Leukemias,35011-35043,2015,35-39 years,35-39,Female,F,White,2106-3,64.0
Leukemias,35011-35043,2015,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2015,35-39 years,35-39,Male,M,White,2106-3,101.0
Leukemias,35011-35043,2016,20-24 years,20-24,Female,F,White,2106-3,47.0
Leukemias,35011-35043,2016,20-24 years,20-24,Male,M,Black or African American,2054-5,31.0
Leukemias,35011-35043,2016,20-24 years,20-24,Male,M,White,2106-3,106.0
Leukemias,35011-35043,2016,25-29 years,25-29,Female,F,Black or African American,2054-5,20.0
Leukemias,35011-35043,2016,25-29 years,25-29,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2016,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2016,25-29 years,25-29,Male,M,White,2106-3,105.0
Leukemias,35011-35043,2016,30-34 years,30-34,Female,F,White,2106-3,74.0
Leukemias,35011-35043,2016,30-34 years,30-34,Male,M,White,2106-3,103.0
Leukemias,35011-35043,2016,35-39 years,35-39,Female,F,Black or African American,2054-5,21.0
Leukemias,35011-35043,2016,35-39 years,35-39,Female,F,White,2106-3,77.0
Leukemias,35011-35043,2016,35-39 years,35-39,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2016,35-39 years,35-39,Male,M,White,2106-3,97.0
Leukemias,35011-35043,2017,20-24 years,20-24,Female,F,White,2106-3,38.0
Leukemias,35011-35043,2017,20-24 years,20-24,Male,M,White,2106-3,95.0
Leukemias,35011-35043,2017,25-29 years,25-29,Female,F,White,2106-3,51.0
Leukemias,35011-35043,2017,25-29 years,25-29,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2017,25-29 years,25-29,Male,M,White,2106-3,90.0
Leukemias,35011-35043,2017,30-34 years,30-34,Female,F,White,2106-3,70.0
Leukemias,35011-35043,2017,30-34 years,30-34,Male,M,White,2106-3,82.0
Leukemias,35011-35043,2017,35-39 years,35-39,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2017,35-39 years,35-39,Female,F,White,2106-3,90.0
Leukemias,35011-35043,2017,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2017,35-39 years,35-39,Male,M,White,2106-3,110.0
Leukemias,35011-35043,2018,20-24 years,20-24,Female,F,White,2106-3,43.0
Leukemias,35011-35043,2018,20-24 years,20-24,Male,M,Black or African American,2054-5,25.0
Leukemias,35011-35043,2018,20-24 years,20-24,Male,M,White,2106-3,74.0
Leukemias,35011-35043,2018,25-29 years,25-29,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2018,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2018,25-29 years,25-29,Male,M,White,2106-3,88.0
Leukemias,35011-35043,2018,30-34 years,30-34,Female,F,White,2106-3,65.0
Leukemias,35011-35043,2018,30-34 years,30-34,Male,M,White,2106-3,81.0
Leukemias,35011-35043,2018,35-39 years,35-39,Female,F,Black or African American,2054-5,22.0
Leukemias,35011-35043,2018,35-39 years,35-39,Female,F,White,2106-3,84.0
Leukemias,35011-35043,2018,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2018,35-39 years,35-39,Male,M,White,2106-3,106.0
Leukemias,35011-35043,2019,20-24 years,20-24,Female,F,White,2106-3,54.0
Leukemias,35011-35043,2019,20-24 years,20-24,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2019,20-24 years,20-24,Male,M,White,2106-3,88.0
Leukemias,35011-35043,2019,25-29 years,25-29,Female,F,White,2106-3,46.0
Leukemias,35011-35043,2019,25-29 years,25-29,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2019,25-29 years,25-29,Male,M,White,2106-3,96.0
Leukemias,35011-35043,2019,30-34 years,30-34,Female,F,White,2106-3,51.0
Leukemias,35011-35043,2019,30-34 years,30-34,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2019,30-34 years,30-34,Male,M,White,2106-3,81.0
Leukemias,35011-35043,2019,35-39 years,35-39,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2019,35-39 years,35-39,Female,F,White,2106-3,94.0
Leukemias,35011-35043,2019,35-39 years,35-39,Male,M,Black or African American,2054-5,28.0
Leukemias,35011-35043,2019,35-39 years,35-39,Male,M,White,2106-3,113.0
Leukemias,35011-35043,2020,20-24 years,20-24,Female,F,White,2106-3,46.0
Leukemias,35011-35043,2020,20-24 years,20-24,Male,M,White,2106-3,68.0
Leukemias,35011-35043,2020,25-29 years,25-29,Female,F,White,2106-3,51.0
Leukemias,35011-35043,2020,25-29 years,25-29,Male,M,Black or African American,2054-5,19.0
Leukemias,35011-35043,2020,25-29 years,25-29,Male,M,White,2106-3,71.0
Leukemias,35011-35043,2020,30-34 years,30-34,Female,F,White,2106-3,54.0
Leukemias,35011-35043,2020,30-34 years,30-34,Male,M,Black or African American,2054-5,24.0
Leukemias,35011-35043,2020,30-34 years,30-34,Male,M,White,2106-3,84.0
Leukemias,35011-35043,2020,35-39 years,35-39,Female,F,Black or African American,2054-5,25.0
Leukemias,35011-35043,2020,35-39 years,35-39,Female,F,White,2106-3,81.0
Leukemias,35011-35043,2020,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2020,35-39 years,35-39,Male,M,White,2106-3,114.0
Leukemias,35011-35043,2021,20-24 years,20-24,Female,F,White,2106-3,47.0
Leukemias,35011-35043,2021,20-24 years,20-24,Male,M,White,2106-3,67.0
Leukemias,35011-35043,2021,25-29 years,25-29,Female,F,Black or African American,2054-5,19.0
Leukemias,35011-35043,2021,25-29 years,25-29,Female,F,White,2106-3,44.0
Leukemias,35011-35043,2021,25-29 years,25-29,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,2021,25-29 years,25-29,Male,M,White,2106-3,74.0
Leukemias,35011-35043,2021,30-34 years,30-34,Female,F,White,2106-3,54.0
Leukemias,35011-35043,2021,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2021,30-34 years,30-34,Male,M,White,2106-3,88.0
Leukemias,35011-35043,2021,35-39 years,35-39,Female,F,White,2106-3,82.0
Leukemias,35011-35043,2021,35-39 years,35-39,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2021,35-39 years,35-39,Male,M,White,2106-3,94.0
Liver,21071,1999,35-39 years,35-39,Female,F,White,2106-3,16.0
Liver,21071,1999,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,18.0
Liver,21071,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Liver,21071,1999,35-39 years,35-39,Male,M,White,2106-3,33.0
Liver,21071,2000,35-39 years,35-39,Female,F,White,2106-3,20.0
Liver,21071,2000,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Liver,21071,2000,35-39 years,35-39,Male,M,White,2106-3,30.0
Liver,21071,2001,35-39 years,35-39,Female,F,White,2106-3,17.0
Liver,21071,2001,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Liver,21071,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,23.0
Liver,21071,2001,35-39 years,35-39,Male,M,White,2106-3,41.0
Liver,21071,2002,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,21.0
Liver,21071,2002,35-39 years,35-39,Male,M,White,2106-3,32.0
Liver,21071,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Liver,21071,2003,35-39 years,35-39,Male,M,White,2106-3,36.0
Liver,21071,2004,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Liver,21071,2004,35-39 years,35-39,Male,M,White,2106-3,24.0
Liver,21071,2005,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Liver,21071,2005,35-39 years,35-39,Male,M,White,2106-3,24.0
Liver,21071,2006,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Liver,21071,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,16.0
Liver,21071,2006,35-39 years,35-39,Male,M,White,2106-3,23.0
Liver,21071,2007,35-39 years,35-39,Male,M,White,2106-3,31.0
Liver,21071,2008,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Liver,21071,2008,35-39 years,35-39,Male,M,White,2106-3,17.0
Liver,21071,2009,35-39 years,35-39,Male,M,White,2106-3,27.0
Liver,21071,2010,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,16.0
Liver,21071,2010,35-39 years,35-39,Male,M,White,2106-3,16.0
Liver,21071,2011,35-39 years,35-39,Male,M,White,2106-3,18.0
Liver,21071,2012,35-39 years,35-39,Male,M,White,2106-3,17.0
Liver,21071,2013,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,21.0
Liver,21071,2013,35-39 years,35-39,Male,M,White,2106-3,22.0
Liver,21071,2015,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,17.0
Liver,21071,2015,35-39 years,35-39,Male,M,White,2106-3,18.0
Liver,21071,2016,35-39 years,35-39,Male,M,Black or African American,2054-5,23.0
Liver,21071,2016,35-39 years,35-39,Male,M,White,2106-3,22.0
Liver,21071,2017,30-34 years,30-34,Female,F,White,2106-3,16.0
Liver,21071,2017,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Liver,21071,2017,35-39 years,35-39,Male,M,White,2106-3,22.0
Liver,21071,2018,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Liver,21071,2019,35-39 years,35-39,Male,M,White,2106-3,19.0
Liver,21071,2020,35-39 years,35-39,Male,M,White,2106-3,21.0
Liver,21071,2021,35-39 years,35-39,Male,M,White,2106-3,19.0
Lung and Bronchus,22030,1999,25-29 years,25-29,Female,F,White,2106-3,16.0
Lung and Bronchus,22030,1999,25-29 years,25-29,Male,M,White,2106-3,17.0
Lung and Bronchus,22030,1999,30-34 years,30-34,Female,F,White,2106-3,51.0
Lung and Bronchus,22030,1999,30-34 years,30-34,Male,M,White,2106-3,64.0
Lung and Bronchus,22030,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,71.0
Lung and Bronchus,22030,1999,35-39 years,35-39,Female,F,White,2106-3,264.0
Lung and Bronchus,22030,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,63.0
Lung and Bronchus,22030,1999,35-39 years,35-39,Male,M,White,2106-3,247.0
Lung and Bronchus,22030,2000,25-29 years,25-29,Male,M,White,2106-3,19.0
Lung and Bronchus,22030,2000,30-34 years,30-34,Female,F,White,2106-3,66.0
Lung and Bronchus,22030,2000,30-34 years,30-34,Male,M,White,2106-3,62.0
Lung and Bronchus,22030,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,62.0
Lung and Bronchus,22030,2000,35-39 years,35-39,Female,F,White,2106-3,222.0
Lung and Bronchus,22030,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,79.0
Lung and Bronchus,22030,2000,35-39 years,35-39,Male,M,White,2106-3,277.0
Lung and Bronchus,22030,2001,30-34 years,30-34,Female,F,White,2106-3,51.0
Lung and Bronchus,22030,2001,30-34 years,30-34,Male,M,White,2106-3,50.0
Lung and Bronchus,22030,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,49.0
Lung and Bronchus,22030,2001,35-39 years,35-39,Female,F,White,2106-3,269.0
Lung and Bronchus,22030,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,54.0
Lung and Bronchus,22030,2001,35-39 years,35-39,Male,M,White,2106-3,252.0
Lung and Bronchus,22030,2002,30-34 years,30-34,Female,F,White,2106-3,44.0
Lung and Bronchus,22030,2002,30-34 years,30-34,Male,M,White,2106-3,58.0
Lung and Bronchus,22030,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,39.0
Lung and Bronchus,22030,2002,35-39 years,35-39,Female,F,White,2106-3,242.0
Lung and Bronchus,22030,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,57.0
Lung and Bronchus,22030,2002,35-39 years,35-39,Male,M,White,2106-3,222.0
Lung and Bronchus,22030,2003,25-29 years,25-29,Female,F,White,2106-3,16.0
Lung and Bronchus,22030,2003,30-34 years,30-34,Female,F,White,2106-3,49.0
Lung and Bronchus,22030,2003,30-34 years,30-34,Male,M,White,2106-3,54.0
Lung and Bronchus,22030,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,42.0
Lung and Bronchus,22030,2003,35-39 years,35-39,Female,F,White,2106-3,205.0
Lung and Bronchus,22030,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,39.0
Lung and Bronchus,22030,2003,35-39 years,35-39,Male,M,White,2106-3,203.0
Lung and Bronchus,22030,2004,25-29 years,25-29,Male,M,White,2106-3,25.0
Lung and Bronchus,22030,2004,30-34 years,30-34,Female,F,White,2106-3,34.0
Lung and Bronchus,22030,2004,30-34 years,30-34,Male,M,White,2106-3,39.0
Lung and Bronchus,22030,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,34.0
Lung and Bronchus,22030,2004,35-39 years,35-39,Female,F,White,2106-3,193.0
Lung and Bronchus,22030,2004,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,16.0
Lung and Bronchus,22030,2004,35-39 years,35-39,Male,M,Black or African American,2054-5,36.0
Lung and Bronchus,22030,2004,35-39 years,35-39,Male,M,White,2106-3,182.0
Lung and Bronchus,22030,2005,30-34 years,30-34,Female,F,White,2106-3,24.0
Lung and Bronchus,22030,2005,30-34 years,30-34,Male,M,White,2106-3,45.0
Lung and Bronchus,22030,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,29.0
Lung and Bronchus,22030,2005,35-39 years,35-39,Female,F,White,2106-3,168.0
Lung and Bronchus,22030,2005,35-39 years,35-39,Male,M,Black or African American,2054-5,38.0
Lung and Bronchus,22030,2005,35-39 years,35-39,Male,M,White,2106-3,184.0
Lung and Bronchus,22030,2006,25-29 years,25-29,Male,M,White,2106-3,16.0
Lung and Bronchus,22030,2006,30-34 years,30-34,Female,F,White,2106-3,38.0
Lung and Bronchus,22030,2006,30-34 years,30-34,Male,M,White,2106-3,45.0
Lung and Bronchus,22030,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,36.0
Lung and Bronchus,22030,2006,35-39 years,35-39,Female,F,White,2106-3,162.0
Lung and Bronchus,22030,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,37.0
Lung and Bronchus,22030,2006,35-39 years,35-39,Male,M,White,2106-3,169.0
Lung and Bronchus,22030,2007,25-29 years,25-29,Male,M,White,2106-3,21.0
Lung and Bronchus,22030,2007,30-34 years,30-34,Female,F,White,2106-3,36.0
Lung and Bronchus,22030,2007,30-34 years,30-34,Male,M,White,2106-3,40.0
Lung and Bronchus,22030,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,29.0
Lung and Bronchus,22030,2007,35-39 years,35-39,Female,F,White,2106-3,132.0
Lung and Bronchus,22030,2007,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Lung and Bronchus,22030,2007,35-39 years,35-39,Male,M,White,2106-3,145.0
Lung and Bronchus,22030,2008,25-29 years,25-29,Male,M,White,2106-3,25.0
Lung and Bronchus,22030,2008,30-34 years,30-34,Female,F,White,2106-3,36.0
Lung and Bronchus,22030,2008,30-34 years,30-34,Male,M,White,2106-3,43.0
Lung and Bronchus,22030,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,22.0
Lung and Bronchus,22030,2008,35-39 years,35-39,Female,F,White,2106-3,133.0
Lung and Bronchus,22030,2008,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Lung and Bronchus,22030,2008,35-39 years,35-39,Male,M,White,2106-3,137.0
Lung and Bronchus,22030,2009,25-29 years,25-29,Male,M,White,2106-3,18.0
Lung and Bronchus,22030,2009,30-34 years,30-34,Female,F,White,2106-3,40.0
Lung and Bronchus,22030,2009,30-34 years,30-34,Male,M,White,2106-3,44.0
Lung and Bronchus,22030,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,22.0
Lung and Bronchus,22030,2009,35-39 years,35-39,Female,F,White,2106-3,135.0
Lung and Bronchus,22030,2009,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,16.0
Lung and Bronchus,22030,2009,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Lung and Bronchus,22030,2009,35-39 years,35-39,Male,M,White,2106-3,149.0
Lung and Bronchus,22030,2010,25-29 years,25-29,Male,M,White,2106-3,16.0
Lung and Bronchus,22030,2010,30-34 years,30-34,Female,F,White,2106-3,46.0
Lung and Bronchus,22030,2010,30-34 years,30-34,Male,M,White,2106-3,53.0
Lung and Bronchus,22030,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,21.0
Lung and Bronchus,22030,2010,35-39 years,35-39,Female,F,White,2106-3,119.0
Lung and Bronchus,22030,2010,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Lung and Bronchus,22030,2010,35-39 years,35-39,Male,M,White,2106-3,138.0
Lung and Bronchus,22030,2011,30-34 years,30-34,Female,F,White,2106-3,28.0
Lung and Bronchus,22030,2011,30-34 years,30-34,Male,M,White,2106-3,28.0
Lung and Bronchus,22030,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,17.0
Lung and Bronchus,22030,2011,35-39 years,35-39,Female,F,White,2106-3,87.0
Lung and Bronchus,22030,2011,35-39 years,35-39,Male,M,Black or African American,2054-5,20.0
Lung and Bronchus,22030,2011,35-39 years,35-39,Male,M,White,2106-3,106.0
Lung and Bronchus,22030,2012,25-29 years,25-29,Male,M,White,2106-3,23.0
Lung and Bronchus,22030,2012,30-34 years,30-34,Female,F,White,2106-3,52.0
Lung and Bronchus,22030,2012,30-34 years,30-34,Male,M,Black or African American,2054-5,21.0
Lung and Bronchus,22030,2012,30-34 years,30-34,Male,M,White,2106-3,48.0
Lung and Bronchus,22030,2012,35-39 years,35-39,Female,F,White,2106-3,95.0
Lung and Bronchus,22030,2012,35-39 years,35-39,Male,M,Black or African American,2054-5,23.0
Lung and Bronchus,22030,2012,35-39 years,35-39,Male,M,White,2106-3,104.0
Lung and Bronchus,22030,2013,25-29 years,25-29,Female,F,White,2106-3,17.0
Lung and Bronchus,22030,2013,30-34 years,30-34,Female,F,White,2106-3,22.0
Lung and Bronchus,22030,2013,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Lung and Bronchus,22030,2013,30-34 years,30-34,Male,M,White,2106-3,27.0
Lung and Bronchus,22030,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Lung and Bronchus,22030,2013,35-39 years,35-39,Female,F,White,2106-3,92.0
Lung and Bronchus,22030,2013,35-39 years,35-39,Male,M,Black or African American,2054-5,24.0
Lung and Bronchus,22030,2013,35-39 years,35-39,Male,M,White,2106-3,104.0
Lung and Bronchus,22030,2014,25-29 years,25-29,Male,M,White,2106-3,19.0
Lung and Bronchus,22030,2014,30-34 years,30-34,Female,F,White,2106-3,29.0
