Leading Cancer Sites,Leading Cancer Sites Code,Year,Race,Race Code,Count
Non-Hodgkin Lymphoma,33041-33042,2012,Other Races and Unknown combined,2131-1,83.0
Non-Hodgkin Lymphoma,33041-33042,2013,American Indian or Alaska Native,1002-5,22.0
Non-Hodgkin Lymphoma,33041-33042,2013,Asian or Pacific Islander,A-PI,217.0
Non-Hodgkin Lymphoma,33041-33042,2013,Black or African American,2054-5,672.0
Non-Hodgkin Lymphoma,33041-33042,2013,White,2106-3,2717.0
Non-Hodgkin Lymphoma,33041-33042,2013,Other Races and Unknown combined,2131-1,70.0
Non-Hodgkin Lymphoma,33041-33042,2014,American Indian or Alaska Native,1002-5,23.0
Non-Hodgkin Lymphoma,33041-33042,2014,Asian or Pacific Islander,A-PI,221.0
Non-Hodgkin Lymphoma,33041-33042,2014,Black or African American,2054-5,614.0
Non-Hodgkin Lymphoma,33041-33042,2014,White,2106-3,2691.0
Non-Hodgkin Lymphoma,33041-33042,2014,Other Races and Unknown combined,2131-1,97.0
Non-Hodgkin Lymphoma,33041-33042,2015,American Indian or Alaska Native,1002-5,29.0
Non-Hodgkin Lymphoma,33041-33042,2015,Asian or Pacific Islander,A-PI,197.0
Non-Hodgkin Lymphoma,33041-33042,2015,Black or African American,2054-5,637.0
Non-Hodgkin Lymphoma,33041-33042,2015,White,2106-3,2782.0
Non-Hodgkin Lymphoma,33041-33042,2015,Other Races and Unknown combined,2131-1,82.0
Non-Hodgkin Lymphoma,33041-33042,2016,American Indian or Alaska Native,1002-5,27.0
Non-Hodgkin Lymphoma,33041-33042,2016,Asian or Pacific Islander,A-PI,275.0
Non-Hodgkin Lymphoma,33041-33042,2016,Black or African American,2054-5,667.0
Non-Hodgkin Lymphoma,33041-33042,2016,White,2106-3,2778.0
Non-Hodgkin Lymphoma,33041-33042,2016,Other Races and Unknown combined,2131-1,89.0
Non-Hodgkin Lymphoma,33041-33042,2017,American Indian or Alaska Native,1002-5,38.0
Non-Hodgkin Lymphoma,33041-33042,2017,Asian or Pacific Islander,A-PI,229.0
Non-Hodgkin Lymphoma,33041-33042,2017,Black or African American,2054-5,662.0
Non-Hodgkin Lymphoma,33041-33042,2017,White,2106-3,2722.0
Non-Hodgkin Lymphoma,33041-33042,2017,Other Races and Unknown combined,2131-1,112.0
Non-Hodgkin Lymphoma,33041-33042,2018,American Indian or Alaska Native,1002-5,35.0
Non-Hodgkin Lymphoma,33041-33042,2018,Asian or Pacific Islander,A-PI,266.0
Non-Hodgkin Lymphoma,33041-33042,2018,Black or African American,2054-5,674.0
Non-Hodgkin Lymphoma,33041-33042,2018,White,2106-3,2788.0
Non-Hodgkin Lymphoma,33041-33042,2018,Other Races and Unknown combined,2131-1,138.0
Non-Hodgkin Lymphoma,33041-33042,2019,American Indian or Alaska Native,1002-5,30.0
Non-Hodgkin Lymphoma,33041-33042,2019,Asian or Pacific Islander,A-PI,257.0
Non-Hodgkin Lymphoma,33041-33042,2019,Black or African American,2054-5,708.0
Non-Hodgkin Lymphoma,33041-33042,2019,White,2106-3,2707.0
Non-Hodgkin Lymphoma,33041-33042,2019,Other Races and Unknown combined,2131-1,149.0
Non-Hodgkin Lymphoma,33041-33042,2020,American Indian or Alaska Native,1002-5,21.0
Non-Hodgkin Lymphoma,33041-33042,2020,Asian or Pacific Islander,A-PI,243.0
Non-Hodgkin Lymphoma,33041-33042,2020,Black or African American,2054-5,596.0
Non-Hodgkin Lymphoma,33041-33042,2020,White,2106-3,2537.0
Non-Hodgkin Lymphoma,33041-33042,2020,Other Races and Unknown combined,2131-1,126.0
Non-Hodgkin Lymphoma,33041-33042,2021,American Indian or Alaska Native,1002-5,27.0
Non-Hodgkin Lymphoma,33041-33042,2021,Asian or Pacific Islander,A-PI,273.0
Non-Hodgkin Lymphoma,33041-33042,2021,Black or African American,2054-5,675.0
Non-Hodgkin Lymphoma,33041-33042,2021,White,2106-3,2550.0
Non-Hodgkin Lymphoma,33041-33042,2021,Other Races and Unknown combined,2131-1,165.0
Oral Cavity and Pharynx,20010-20100,1999,Asian or Pacific Islander,A-PI,113.0
Oral Cavity and Pharynx,20010-20100,1999,Black or African American,2054-5,146.0
Oral Cavity and Pharynx,20010-20100,1999,White,2106-3,1016.0
Oral Cavity and Pharynx,20010-20100,1999,Other Races and Unknown combined,2131-1,35.0
Oral Cavity and Pharynx,20010-20100,2000,Asian or Pacific Islander,A-PI,101.0
Oral Cavity and Pharynx,20010-20100,2000,Black or African American,2054-5,164.0
Oral Cavity and Pharynx,20010-20100,2000,White,2106-3,1061.0
Oral Cavity and Pharynx,20010-20100,2001,Asian or Pacific Islander,A-PI,84.0
Oral Cavity and Pharynx,20010-20100,2001,Black or African American,2054-5,177.0
Oral Cavity and Pharynx,20010-20100,2001,White,2106-3,982.0
Oral Cavity and Pharynx,20010-20100,2001,Other Races and Unknown combined,2131-1,28.0
Oral Cavity and Pharynx,20010-20100,2002,Asian or Pacific Islander,A-PI,120.0
Oral Cavity and Pharynx,20010-20100,2002,Black or African American,2054-5,185.0
Oral Cavity and Pharynx,20010-20100,2002,White,2106-3,1041.0
Oral Cavity and Pharynx,20010-20100,2002,Other Races and Unknown combined,2131-1,23.0
Oral Cavity and Pharynx,20010-20100,2003,Asian or Pacific Islander,A-PI,123.0
Oral Cavity and Pharynx,20010-20100,2003,Black or African American,2054-5,184.0
Oral Cavity and Pharynx,20010-20100,2003,White,2106-3,1019.0
Oral Cavity and Pharynx,20010-20100,2003,Other Races and Unknown combined,2131-1,19.0
Oral Cavity and Pharynx,20010-20100,2004,Asian or Pacific Islander,A-PI,133.0
Oral Cavity and Pharynx,20010-20100,2004,Black or African American,2054-5,178.0
Oral Cavity and Pharynx,20010-20100,2004,White,2106-3,928.0
Oral Cavity and Pharynx,20010-20100,2004,Other Races and Unknown combined,2131-1,21.0
Oral Cavity and Pharynx,20010-20100,2005,Asian or Pacific Islander,A-PI,141.0
Oral Cavity and Pharynx,20010-20100,2005,Black or African American,2054-5,162.0
Oral Cavity and Pharynx,20010-20100,2005,White,2106-3,1018.0
Oral Cavity and Pharynx,20010-20100,2006,Asian or Pacific Islander,A-PI,138.0
Oral Cavity and Pharynx,20010-20100,2006,Black or African American,2054-5,182.0
Oral Cavity and Pharynx,20010-20100,2006,White,2106-3,941.0
Oral Cavity and Pharynx,20010-20100,2006,Other Races and Unknown combined,2131-1,24.0
Oral Cavity and Pharynx,20010-20100,2007,Asian or Pacific Islander,A-PI,126.0
Oral Cavity and Pharynx,20010-20100,2007,Black or African American,2054-5,160.0
Oral Cavity and Pharynx,20010-20100,2007,White,2106-3,1000.0
Oral Cavity and Pharynx,20010-20100,2007,Other Races and Unknown combined,2131-1,22.0
Oral Cavity and Pharynx,20010-20100,2008,Asian or Pacific Islander,A-PI,120.0
Oral Cavity and Pharynx,20010-20100,2008,Black or African American,2054-5,179.0
Oral Cavity and Pharynx,20010-20100,2008,White,2106-3,1025.0
Oral Cavity and Pharynx,20010-20100,2008,Other Races and Unknown combined,2131-1,38.0
Oral Cavity and Pharynx,20010-20100,2009,Asian or Pacific Islander,A-PI,137.0
Oral Cavity and Pharynx,20010-20100,2009,Black or African American,2054-5,183.0
Oral Cavity and Pharynx,20010-20100,2009,White,2106-3,1005.0
Oral Cavity and Pharynx,20010-20100,2009,Other Races and Unknown combined,2131-1,29.0
Oral Cavity and Pharynx,20010-20100,2010,Asian or Pacific Islander,A-PI,133.0
Oral Cavity and Pharynx,20010-20100,2010,Black or African American,2054-5,173.0
Oral Cavity and Pharynx,20010-20100,2010,White,2106-3,1027.0
Oral Cavity and Pharynx,20010-20100,2010,Other Races and Unknown combined,2131-1,23.0
Oral Cavity and Pharynx,20010-20100,2011,Asian or Pacific Islander,A-PI,161.0
Oral Cavity and Pharynx,20010-20100,2011,Black or African American,2054-5,175.0
Oral Cavity and Pharynx,20010-20100,2011,White,2106-3,1006.0
Oral Cavity and Pharynx,20010-20100,2011,Other Races and Unknown combined,2131-1,28.0
Oral Cavity and Pharynx,20010-20100,2012,Asian or Pacific Islander,A-PI,154.0
Oral Cavity and Pharynx,20010-20100,2012,Black or African American,2054-5,174.0
Oral Cavity and Pharynx,20010-20100,2012,White,2106-3,985.0
Oral Cavity and Pharynx,20010-20100,2012,Other Races and Unknown combined,2131-1,22.0
Oral Cavity and Pharynx,20010-20100,2013,Asian or Pacific Islander,A-PI,142.0
Oral Cavity and Pharynx,20010-20100,2013,Black or African American,2054-5,169.0
Oral Cavity and Pharynx,20010-20100,2013,White,2106-3,974.0
Oral Cavity and Pharynx,20010-20100,2013,Other Races and Unknown combined,2131-1,29.0
Oral Cavity and Pharynx,20010-20100,2014,Asian or Pacific Islander,A-PI,144.0
Oral Cavity and Pharynx,20010-20100,2014,Black or African American,2054-5,184.0
Oral Cavity and Pharynx,20010-20100,2014,White,2106-3,977.0
Oral Cavity and Pharynx,20010-20100,2014,Other Races and Unknown combined,2131-1,25.0
Oral Cavity and Pharynx,20010-20100,2015,Asian or Pacific Islander,A-PI,144.0
Oral Cavity and Pharynx,20010-20100,2015,Black or African American,2054-5,164.0
Oral Cavity and Pharynx,20010-20100,2015,White,2106-3,1002.0
Oral Cavity and Pharynx,20010-20100,2015,Other Races and Unknown combined,2131-1,35.0
Oral Cavity and Pharynx,20010-20100,2016,American Indian or Alaska Native,1002-5,18.0
Oral Cavity and Pharynx,20010-20100,2016,Asian or Pacific Islander,A-PI,153.0
Oral Cavity and Pharynx,20010-20100,2016,Black or African American,2054-5,183.0
Oral Cavity and Pharynx,20010-20100,2016,White,2106-3,1025.0
Oral Cavity and Pharynx,20010-20100,2016,Other Races and Unknown combined,2131-1,48.0
Oral Cavity and Pharynx,20010-20100,2017,American Indian or Alaska Native,1002-5,19.0
Oral Cavity and Pharynx,20010-20100,2017,Asian or Pacific Islander,A-PI,172.0
Oral Cavity and Pharynx,20010-20100,2017,Black or African American,2054-5,216.0
Oral Cavity and Pharynx,20010-20100,2017,White,2106-3,1017.0
Oral Cavity and Pharynx,20010-20100,2017,Other Races and Unknown combined,2131-1,38.0
Oral Cavity and Pharynx,20010-20100,2018,Asian or Pacific Islander,A-PI,159.0
Oral Cavity and Pharynx,20010-20100,2018,Black or African American,2054-5,173.0
Oral Cavity and Pharynx,20010-20100,2018,White,2106-3,978.0
Oral Cavity and Pharynx,20010-20100,2018,Other Races and Unknown combined,2131-1,45.0
Oral Cavity and Pharynx,20010-20100,2019,Asian or Pacific Islander,A-PI,166.0
Oral Cavity and Pharynx,20010-20100,2019,Black or African American,2054-5,220.0
Oral Cavity and Pharynx,20010-20100,2019,White,2106-3,1047.0
Oral Cavity and Pharynx,20010-20100,2019,Other Races and Unknown combined,2131-1,47.0
Oral Cavity and Pharynx,20010-20100,2020,American Indian or Alaska Native,1002-5,18.0
Oral Cavity and Pharynx,20010-20100,2020,Asian or Pacific Islander,A-PI,156.0
Oral Cavity and Pharynx,20010-20100,2020,Black or African American,2054-5,188.0
Oral Cavity and Pharynx,20010-20100,2020,White,2106-3,935.0
Oral Cavity and Pharynx,20010-20100,2020,Other Races and Unknown combined,2131-1,54.0
Oral Cavity and Pharynx,20010-20100,2021,American Indian or Alaska Native,1002-5,16.0
Oral Cavity and Pharynx,20010-20100,2021,Asian or Pacific Islander,A-PI,162.0
Oral Cavity and Pharynx,20010-20100,2021,Black or African American,2054-5,180.0
Oral Cavity and Pharynx,20010-20100,2021,White,2106-3,913.0
Oral Cavity and Pharynx,20010-20100,2021,Other Races and Unknown combined,2131-1,61.0
Ovary,27040,1999,Asian or Pacific Islander,A-PI,76.0
Ovary,27040,1999,Black or African American,2054-5,117.0
Ovary,27040,1999,White,2106-3,1011.0
Ovary,27040,2000,Asian or Pacific Islander,A-PI,51.0
Ovary,27040,2000,Black or African American,2054-5,129.0
Ovary,27040,2000,White,2106-3,1111.0
Ovary,27040,2001,Asian or Pacific Islander,A-PI,70.0
Ovary,27040,2001,Black or African American,2054-5,161.0
Ovary,27040,2001,White,2106-3,1089.0
Ovary,27040,2001,Other Races and Unknown combined,2131-1,21.0
Ovary,27040,2002,Asian or Pacific Islander,A-PI,80.0
Ovary,27040,2002,Black or African American,2054-5,158.0
Ovary,27040,2002,White,2106-3,1067.0
Ovary,27040,2003,Asian or Pacific Islander,A-PI,77.0
Ovary,27040,2003,Black or African American,2054-5,148.0
Ovary,27040,2003,White,2106-3,1000.0
Ovary,27040,2003,Other Races and Unknown combined,2131-1,18.0
Ovary,27040,2004,Asian or Pacific Islander,A-PI,90.0
Ovary,27040,2004,Black or African American,2054-5,140.0
Ovary,27040,2004,White,2106-3,938.0
Ovary,27040,2004,Other Races and Unknown combined,2131-1,18.0
Ovary,27040,2005,Asian or Pacific Islander,A-PI,81.0
Ovary,27040,2005,Black or African American,2054-5,135.0
Ovary,27040,2005,White,2106-3,1013.0
Ovary,27040,2005,Other Races and Unknown combined,2131-1,21.0
Ovary,27040,2006,Asian or Pacific Islander,A-PI,79.0
Ovary,27040,2006,Black or African American,2054-5,154.0
Ovary,27040,2006,White,2106-3,988.0
Ovary,27040,2006,Other Races and Unknown combined,2131-1,16.0
Ovary,27040,2007,Asian or Pacific Islander,A-PI,89.0
Ovary,27040,2007,Black or African American,2054-5,117.0
Ovary,27040,2007,White,2106-3,1037.0
Ovary,27040,2007,Other Races and Unknown combined,2131-1,17.0
Ovary,27040,2008,Asian or Pacific Islander,A-PI,85.0
Ovary,27040,2008,Black or African American,2054-5,140.0
Ovary,27040,2008,White,2106-3,1006.0
Ovary,27040,2008,Other Races and Unknown combined,2131-1,16.0
Ovary,27040,2009,Asian or Pacific Islander,A-PI,96.0
Ovary,27040,2009,Black or African American,2054-5,186.0
Ovary,27040,2009,White,2106-3,1029.0
Ovary,27040,2010,American Indian or Alaska Native,1002-5,17.0
Ovary,27040,2010,Asian or Pacific Islander,A-PI,87.0
Ovary,27040,2010,Black or African American,2054-5,145.0
Ovary,27040,2010,White,2106-3,970.0
Ovary,27040,2011,Asian or Pacific Islander,A-PI,91.0
Ovary,27040,2011,Black or African American,2054-5,135.0
Ovary,27040,2011,White,2106-3,997.0
Ovary,27040,2011,Other Races and Unknown combined,2131-1,18.0
Ovary,27040,2012,American Indian or Alaska Native,1002-5,19.0
Ovary,27040,2012,Asian or Pacific Islander,A-PI,106.0
Ovary,27040,2012,Black or African American,2054-5,182.0
Ovary,27040,2012,White,2106-3,1005.0
Ovary,27040,2012,Other Races and Unknown combined,2131-1,17.0
Ovary,27040,2013,Asian or Pacific Islander,A-PI,96.0
Ovary,27040,2013,Black or African American,2054-5,156.0
Ovary,27040,2013,White,2106-3,1006.0
Ovary,27040,2013,Other Races and Unknown combined,2131-1,35.0
Ovary,27040,2014,American Indian or Alaska Native,1002-5,17.0
Ovary,27040,2014,Asian or Pacific Islander,A-PI,119.0
Ovary,27040,2014,Black or African American,2054-5,149.0
Ovary,27040,2014,White,2106-3,1049.0
Ovary,27040,2014,Other Races and Unknown combined,2131-1,21.0
Ovary,27040,2015,American Indian or Alaska Native,1002-5,17.0
Ovary,27040,2015,Asian or Pacific Islander,A-PI,108.0
Ovary,27040,2015,Black or African American,2054-5,163.0
Ovary,27040,2015,White,2106-3,1111.0
Ovary,27040,2015,Other Races and Unknown combined,2131-1,35.0
Ovary,27040,2016,Asian or Pacific Islander,A-PI,98.0
Ovary,27040,2016,Black or African American,2054-5,181.0
Ovary,27040,2016,White,2106-3,1034.0
Ovary,27040,2016,Other Races and Unknown combined,2131-1,27.0
Ovary,27040,2017,American Indian or Alaska Native,1002-5,19.0
Ovary,27040,2017,Asian or Pacific Islander,A-PI,124.0
Ovary,27040,2017,Black or African American,2054-5,190.0
Ovary,27040,2017,White,2106-3,1004.0
Ovary,27040,2017,Other Races and Unknown combined,2131-1,38.0
Ovary,27040,2018,American Indian or Alaska Native,1002-5,18.0
Ovary,27040,2018,Asian or Pacific Islander,A-PI,125.0
Ovary,27040,2018,Black or African American,2054-5,159.0
Ovary,27040,2018,White,2106-3,1054.0
Ovary,27040,2018,Other Races and Unknown combined,2131-1,35.0
Ovary,27040,2019,Asian or Pacific Islander,A-PI,120.0
Ovary,27040,2019,Black or African American,2054-5,179.0
Ovary,27040,2019,White,2106-3,1051.0
Ovary,27040,2019,Other Races and Unknown combined,2131-1,48.0
Ovary,27040,2020,American Indian or Alaska Native,1002-5,23.0
Ovary,27040,2020,Asian or Pacific Islander,A-PI,119.0
Ovary,27040,2020,Black or African American,2054-5,157.0
Ovary,27040,2020,White,2106-3,1025.0
Ovary,27040,2020,Other Races and Unknown combined,2131-1,43.0
Ovary,27040,2021,American Indian or Alaska Native,1002-5,18.0
Ovary,27040,2021,Asian or Pacific Islander,A-PI,130.0
Ovary,27040,2021,Black or African American,2054-5,194.0
Ovary,27040,2021,White,2106-3,1049.0
Ovary,27040,2021,Other Races and Unknown combined,2131-1,49.0
Pancreas,21100,1999,Black or African American,2054-5,65.0
Pancreas,21100,1999,White,2106-3,278.0
Pancreas,21100,2000,Black or African American,2054-5,60.0
Pancreas,21100,2000,White,2106-3,278.0
Pancreas,21100,2001,Asian or Pacific Islander,A-PI,17.0
Pancreas,21100,2001,Black or African American,2054-5,53.0
Pancreas,21100,2001,White,2106-3,261.0
Pancreas,21100,2002,Black or African American,2054-5,64.0
Pancreas,21100,2002,White,2106-3,308.0
Pancreas,21100,2003,Asian or Pacific Islander,A-PI,24.0
Pancreas,21100,2003,Black or African American,2054-5,63.0
Pancreas,21100,2003,White,2106-3,295.0
Pancreas,21100,2004,Asian or Pacific Islander,A-PI,23.0
Pancreas,21100,2004,Black or African American,2054-5,58.0
Pancreas,21100,2004,White,2106-3,284.0
Pancreas,21100,2005,Asian or Pacific Islander,A-PI,17.0
Pancreas,21100,2005,Black or African American,2054-5,58.0
Pancreas,21100,2005,White,2106-3,284.0
Pancreas,21100,2006,Asian or Pacific Islander,A-PI,17.0
Pancreas,21100,2006,Black or African American,2054-5,63.0
Pancreas,21100,2006,White,2106-3,297.0
Pancreas,21100,2007,Asian or Pacific Islander,A-PI,20.0
Pancreas,21100,2007,Black or African American,2054-5,64.0
Pancreas,21100,2007,White,2106-3,316.0
Pancreas,21100,2008,Asian or Pacific Islander,A-PI,18.0
Pancreas,21100,2008,Black or African American,2054-5,84.0
Pancreas,21100,2008,White,2106-3,316.0
Pancreas,21100,2009,Asian or Pacific Islander,A-PI,31.0
Pancreas,21100,2009,Black or African American,2054-5,82.0
Pancreas,21100,2009,White,2106-3,333.0
Pancreas,21100,2010,Asian or Pacific Islander,A-PI,25.0
Pancreas,21100,2010,Black or African American,2054-5,68.0
Pancreas,21100,2010,White,2106-3,327.0
Pancreas,21100,2011,Asian or Pacific Islander,A-PI,34.0
Pancreas,21100,2011,Black or African American,2054-5,63.0
Pancreas,21100,2011,White,2106-3,350.0
Pancreas,21100,2012,Asian or Pacific Islander,A-PI,20.0
Pancreas,21100,2012,Black or African American,2054-5,80.0
Pancreas,21100,2012,White,2106-3,345.0
Pancreas,21100,2013,Asian or Pacific Islander,A-PI,33.0
Pancreas,21100,2013,Black or African American,2054-5,98.0
Pancreas,21100,2013,White,2106-3,379.0
Pancreas,21100,2014,Asian or Pacific Islander,A-PI,33.0
Pancreas,21100,2014,Black or African American,2054-5,119.0
Pancreas,21100,2014,White,2106-3,416.0
Pancreas,21100,2015,Asian or Pacific Islander,A-PI,35.0
Pancreas,21100,2015,Black or African American,2054-5,99.0
Pancreas,21100,2015,White,2106-3,451.0
Pancreas,21100,2016,Asian or Pacific Islander,A-PI,41.0
Pancreas,21100,2016,Black or African American,2054-5,115.0
Pancreas,21100,2016,White,2106-3,451.0
Pancreas,21100,2017,Asian or Pacific Islander,A-PI,39.0
Pancreas,21100,2017,Black or African American,2054-5,104.0
Pancreas,21100,2017,White,2106-3,478.0
Pancreas,21100,2018,Asian or Pacific Islander,A-PI,33.0
Pancreas,21100,2018,Black or African American,2054-5,105.0
Pancreas,21100,2018,White,2106-3,511.0
Pancreas,21100,2019,Asian or Pacific Islander,A-PI,33.0
Pancreas,21100,2019,Black or African American,2054-5,108.0
Pancreas,21100,2019,White,2106-3,480.0
Pancreas,21100,2020,Asian or Pacific Islander,A-PI,34.0
Pancreas,21100,2020,Black or African American,2054-5,116.0
Pancreas,21100,2020,White,2106-3,429.0
Pancreas,21100,2020,Other Races and Unknown combined,2131-1,17.0
Pancreas,21100,2021,Asian or Pacific Islander,A-PI,50.0
Pancreas,21100,2021,Black or African American,2054-5,126.0
Pancreas,21100,2021,White,2106-3,501.0
Pancreas,21100,2021,Other Races and Unknown combined,2131-1,28.0
Prostate,28010,1999,Black or African American,2054-5,19.0
Prostate,28010,1999,White,2106-3,70.0
Prostate,28010,2000,Black or African American,2054-5,28.0
Prostate,28010,2000,White,2106-3,76.0
Prostate,28010,2001,Black or African American,2054-5,24.0
Prostate,28010,2001,White,2106-3,74.0
Prostate,28010,2002,Black or African American,2054-5,29.0
Prostate,28010,2002,White,2106-3,86.0
Prostate,28010,2003,Black or African American,2054-5,26.0
Prostate,28010,2003,White,2106-3,89.0
Prostate,28010,2004,Black or African American,2054-5,31.0
Prostate,28010,2004,White,2106-3,70.0
Prostate,28010,2005,Black or African American,2054-5,39.0
Prostate,28010,2005,White,2106-3,85.0
Prostate,28010,2006,Black or African American,2054-5,30.0
Prostate,28010,2006,White,2106-3,81.0
Prostate,28010,2007,Black or African American,2054-5,40.0
Prostate,28010,2007,White,2106-3,93.0
Prostate,28010,2008,Black or African American,2054-5,46.0
Prostate,28010,2008,White,2106-3,96.0
Prostate,28010,2009,Black or African American,2054-5,54.0
Prostate,28010,2009,White,2106-3,118.0
Prostate,28010,2010,Black or African American,2054-5,37.0
Prostate,28010,2010,White,2106-3,77.0
Prostate,28010,2011,Black or African American,2054-5,40.0
Prostate,28010,2011,White,2106-3,76.0
Prostate,28010,2012,Black or African American,2054-5,32.0
Prostate,28010,2012,White,2106-3,53.0
Prostate,28010,2013,Black or African American,2054-5,32.0
Prostate,28010,2013,White,2106-3,58.0
Prostate,28010,2014,Black or African American,2054-5,19.0
Prostate,28010,2014,White,2106-3,64.0
Prostate,28010,2015,Black or African American,2054-5,24.0
Prostate,28010,2015,White,2106-3,60.0
Prostate,28010,2016,Black or African American,2054-5,28.0
Prostate,28010,2016,White,2106-3,41.0
Prostate,28010,2017,Black or African American,2054-5,20.0
Prostate,28010,2017,White,2106-3,55.0
Prostate,28010,2018,Black or African American,2054-5,23.0
Prostate,28010,2018,White,2106-3,47.0
Prostate,28010,2019,Black or African American,2054-5,28.0
Prostate,28010,2019,White,2106-3,52.0
Prostate,28010,2020,White,2106-3,29.0
Prostate,28010,2021,Black or African American,2054-5,22.0
Prostate,28010,2021,White,2106-3,51.0
Stomach,21020,1999,Asian or Pacific Islander,A-PI,47.0
Stomach,21020,1999,Black or African American,2054-5,134.0
Stomach,21020,1999,White,2106-3,411.0
Stomach,21020,2000,Asian or Pacific Islander,A-PI,48.0
Stomach,21020,2000,Black or African American,2054-5,129.0
Stomach,21020,2000,White,2106-3,419.0
Stomach,21020,2001,Asian or Pacific Islander,A-PI,51.0
Stomach,21020,2001,Black or African American,2054-5,123.0
Stomach,21020,2001,White,2106-3,429.0
Stomach,21020,2002,Asian or Pacific Islander,A-PI,60.0
Stomach,21020,2002,Black or African American,2054-5,97.0
Stomach,21020,2002,White,2106-3,415.0
Stomach,21020,2003,Asian or Pacific Islander,A-PI,60.0
Stomach,21020,2003,Black or African American,2054-5,110.0
Stomach,21020,2003,White,2106-3,464.0
Stomach,21020,2004,Asian or Pacific Islander,A-PI,66.0
Stomach,21020,2004,Black or African American,2054-5,122.0
Stomach,21020,2004,White,2106-3,405.0
Stomach,21020,2005,Asian or Pacific Islander,A-PI,59.0
Stomach,21020,2005,Black or African American,2054-5,109.0
Stomach,21020,2005,White,2106-3,433.0
Stomach,21020,2006,Asian or Pacific Islander,A-PI,64.0
Stomach,21020,2006,Black or African American,2054-5,116.0
Stomach,21020,2006,White,2106-3,442.0
Stomach,21020,2007,Asian or Pacific Islander,A-PI,65.0
Stomach,21020,2007,Black or African American,2054-5,112.0
Stomach,21020,2007,White,2106-3,489.0
Stomach,21020,2008,Asian or Pacific Islander,A-PI,52.0
Stomach,21020,2008,Black or African American,2054-5,115.0
Stomach,21020,2008,White,2106-3,458.0
Stomach,21020,2008,Other Races and Unknown combined,2131-1,16.0
Stomach,21020,2009,Asian or Pacific Islander,A-PI,68.0
Stomach,21020,2009,Black or African American,2054-5,110.0
Stomach,21020,2009,White,2106-3,444.0
Stomach,21020,2010,Asian or Pacific Islander,A-PI,76.0
Stomach,21020,2010,Black or African American,2054-5,114.0
Stomach,21020,2010,White,2106-3,495.0
Stomach,21020,2010,Other Races and Unknown combined,2131-1,21.0
Stomach,21020,2011,Asian or Pacific Islander,A-PI,60.0
Stomach,21020,2011,Black or African American,2054-5,117.0
Stomach,21020,2011,White,2106-3,458.0
Stomach,21020,2012,Asian or Pacific Islander,A-PI,73.0
Stomach,21020,2012,Black or African American,2054-5,133.0
Stomach,21020,2012,White,2106-3,482.0
Stomach,21020,2012,Other Races and Unknown combined,2131-1,17.0
Stomach,21020,2013,Asian or Pacific Islander,A-PI,72.0
Stomach,21020,2013,Black or African American,2054-5,122.0
Stomach,21020,2013,White,2106-3,492.0
Stomach,21020,2014,Asian or Pacific Islander,A-PI,65.0
Stomach,21020,2014,Black or African American,2054-5,114.0
Stomach,21020,2014,White,2106-3,504.0
Stomach,21020,2015,Asian or Pacific Islander,A-PI,85.0
Stomach,21020,2015,Black or African American,2054-5,125.0
Stomach,21020,2015,White,2106-3,492.0
Stomach,21020,2015,Other Races and Unknown combined,2131-1,22.0
Stomach,21020,2016,Asian or Pacific Islander,A-PI,94.0
Stomach,21020,2016,Black or African American,2054-5,142.0
Stomach,21020,2016,White,2106-3,554.0
Stomach,21020,2017,Asian or Pacific Islander,A-PI,54.0
Stomach,21020,2017,Black or African American,2054-5,146.0
Stomach,21020,2017,White,2106-3,567.0
Stomach,21020,2017,Other Races and Unknown combined,2131-1,27.0
Stomach,21020,2018,Asian or Pacific Islander,A-PI,79.0
Stomach,21020,2018,Black or African American,2054-5,144.0
Stomach,21020,2018,White,2106-3,606.0
Stomach,21020,2018,Other Races and Unknown combined,2131-1,25.0
Stomach,21020,2019,Asian or Pacific Islander,A-PI,68.0
Stomach,21020,2019,Black or African American,2054-5,144.0
Stomach,21020,2019,White,2106-3,559.0
Stomach,21020,2019,Other Races and Unknown combined,2131-1,23.0
Stomach,21020,2020,Asian or Pacific Islander,A-PI,76.0
Stomach,21020,2020,Black or African American,2054-5,128.0
Stomach,21020,2020,White,2106-3,520.0
Stomach,21020,2020,Other Races and Unknown combined,2131-1,29.0
Stomach,21020,2021,Asian or Pacific Islander,A-PI,82.0
Stomach,21020,2021,Black or African American,2054-5,168.0
Stomach,21020,2021,White,2106-3,604.0
Stomach,21020,2021,Other Races and Unknown combined,2131-1,41.0
Thyroid,32010,1999,American Indian or Alaska Native,1002-5,43.0
Thyroid,32010,1999,Asian or Pacific Islander,A-PI,249.0
Thyroid,32010,1999,Black or African American,2054-5,362.0
Thyroid,32010,1999,White,2106-3,5019.0
Thyroid,32010,1999,Other Races and Unknown combined,2131-1,95.0
Thyroid,32010,2000,American Indian or Alaska Native,1002-5,47.0
Thyroid,32010,2000,Asian or Pacific Islander,A-PI,301.0
Thyroid,32010,2000,Black or African American,2054-5,407.0
Thyroid,32010,2000,White,2106-3,5313.0
Thyroid,32010,2000,Other Races and Unknown combined,2131-1,100.0
Thyroid,32010,2001,American Indian or Alaska Native,1002-5,41.0
Thyroid,32010,2001,Asian or Pacific Islander,A-PI,343.0
Thyroid,32010,2001,Black or African American,2054-5,435.0
Thyroid,32010,2001,White,2106-3,5566.0
